lambda,pool_label,decode_cap_label,n_requests,frac_pool_blocked,prefill_wait_mean,prefill_wait_p95,prefill_wait_p99,pool_wait_mean,pool_wait_p95,pool_wait_p99,decode_admit_wait_mean,decode_admit_wait_p95,decode_admit_wait_p99,e2e_latency_mean,e2e_latency_p50,e2e_latency_p95,e2e_latency_p99,mean_occupancy,max_occupancy,frac_time_above_crossover
4500,2GB,hard_cap_320,100000,0.00765,0.16590076559393213,0.3614495095857044,0.41856952527714214,3.732446607149605e-05,0.0,0.0,0.0002197591590898689,0.0,0.009366188194035058,0.7238431311406841,0.6672896111907358,1.2956479680749031,1.8743404840442928,278.55692120327495,320,0.2976341206958761
6000,1GB,hard_cap_320,80677,0.015320351525217844,0.7282589087796141,1.5165637579867906,1.6330031110519614,0.00010886725391473204,0.0,0.003305474701222444,0.00012734323745524357,0.0,0.005427371303370402,1.3006508397479615,1.2365341788115507,2.1332907574441555,2.553908355765906,165.44307317916193,320,0.1826212572399803
6000,1round_38.92GB,dynamic_4558,100000,0.0,0.818352040026269,1.526315254864709,1.6278715162695534,0.0,0.0,0.0,0.0,0.0,0.0,1.3844255504592455,1.3802067746077296,2.165306318320244,2.5720799933228298,275.53573590521063,350,0.31013618509009255
6000,1round_38.92GB,hard_cap_320,100000,0.0,0.8183352281923179,1.5262032276313637,1.6266780067098372,0.0,0.0,0.0,0.0002813120484956285,0.0,0.010711281779097328,1.384443900564654,1.3802626572859007,2.1648746931045375,2.5715068988034386,275.2291985421665,320,0.3101988822798447
6000,2GB,hard_cap_320,100000,0.00825,0.8183352281923179,1.5262032276313637,1.6266780067098372,4.689727748813621e-05,0.0,0.0,0.00023441477100749226,0.0,0.00979288328532151,1.384443900564654,1.3802626572859007,2.1648746931045375,2.5715068988034386,275.2291985421665,320,0.3101988822798447
8000,1GB,hard_cap_320,80709,0.016441784683244743,1.1734898704425372,2.374697362674012,2.546969618169866,0.00010443827709181407,0.0,0.003097215242685587,0.00015417047141149875,0.0,0.005957678148114968,1.746925643446893,1.6549841457089352,2.9398250558854024,3.216442465163852,167.75372164476113,320,0.1773430888756747
8000,1round_38.92GB,dynamic_4558,100000,0.0,1.3163792948748907,2.413033876124018,2.5514137840955353,0.0,0.0,0.0,0.0,0.0,0.0,1.8833935254337493,1.8855865197155213,2.9718561904278156,3.2515797510621685,278.123069652665,345,0.3060882649399876
8000,1round_38.92GB,hard_cap_320,100000,0.0,1.3163468787790462,2.4128976673500753,2.5506991968291595,0.0,0.0,0.0,0.00031961198607394247,0.0,0.010727659571269681,1.8833966434113365,1.885815514513483,2.971989430679288,3.2502105590441035,277.7893852876588,320,0.30562371810853034
8000,2GB,hard_cap_320,100000,0.00836,1.3163468787790462,2.4128976673500753,2.5506991968291595,5.478810226292167e-05,0.0,0.0,0.00026482388381102076,0.0,0.009996374056293162,1.8833966434113365,1.885815514513483,2.971989430679288,3.2502105590441035,277.7893852876588,320,0.30562371810853034
10000,1GB,hard_cap_320,80741,0.015915086511190103,1.4414683056381326,2.891987285296337,3.095916314855972,0.0001129729576575474,0.0,0.003938045422451287,0.00013941672838862996,0.0,0.005578070575099154,2.0154696409746284,1.9073443242198698,3.4523125793577165,3.67832609384687,166.583583676684,320,0.1801644828758992
10000,1round_38.92GB,dynamic_4558,100000,0.0,1.6157275189171894,2.945250634681336,3.1130406294180673,0.0,0.0,0.0,0.0,0.0,0.0,2.18318103432389,2.1872553375358548,3.488716788953027,3.708815185099918,276.00736949061,350,0.3075361976679941
10000,1round_38.92GB,hard_cap_320,100000,0.0,1.6157207669190135,2.945218758250314,3.112863787199577,0.0,0.0,0.0,0.0003131575520951975,0.0,0.010968370280444941,2.1831674202126963,2.1870939981652673,3.488556112763373,3.7084117872145934,275.69261123504504,320,0.3076334843515435
10000,2GB,hard_cap_320,100000,0.00915,1.6157207669190135,2.945218758250314,3.112863787199577,6.0479957437900665e-05,0.0,0.0,0.00025267759465729685,0.0,0.009816368024951172,2.1831674202126963,2.1870939981652673,3.488556112763373,3.7084117872145934,275.69261123504504,320,0.3076334843515435
